Facility	Latitude	Longitude	Total On-site Disposal or Other Releases	Total Off-site Disposal or Other Releases	Total On- and Off-site Disposal or Other Releases
"REAL ALLOY SPECIFICATION INC.4525 W OLD 24, WABASH INDIANA 46992 (WABASH)"	40.792	-85.877	104.09	.	104.09
"FORMOSA PLASTICS CORP TEXAS.201 FORMOSA DR, POINT COMFORT TEXAS 77978 (CALHOUN)"	28.675	-96.55	2.3389179	89.51	91.8489179
"NICHOLS ALUMINUM LLC-DAVENPORT CASTING OPERATIONS.2101 J M.MORRIS BLVD, DAVENPORT IOWA 52802 (SCOTT)"	41.497	-90.646	4.515	85.74	90.255
"SANDERS LEAD CO INC.1 SANDERS RD, TROY ALABAMA 36079 (PIKE)"	31.788	-85.978	82.7	.	82.7
"ARCELORMITTAL BURNS HARBOR LLC.250 W US HWY 12, BURNS HARBOR INDIANA 46304 (PORTER)"	41.631	-87.127	74.9259283	.	74.9259283
"MCFARLAND CASCADE HOLDINGS INC.74 WADLEY ST, PINEVILLE LOUISIANA 71360 (RAPIDES PARISH)"	31.32	-92.424	0	71.8376	71.8376
"REAL ALLOY SPECIFICATION INC.47 BROGDON RD, STEELE ALABAMA 35987 (ST CLAIR)"	33.934	-86.198	3.271	61.93	65.201
"LIGHT METALS INC.13329 ECTOR ST, CITY OF INDUSTRY CALIFORNIA 91746 (LOS ANGELES)"	34.057	-117.988	0.112	61.809	61.921
"INTERNATIONAL PAPER TEXARKANA MILL.9978 FARM MARKET RD 3129, QUEEN CITY TEXAS 75572 (CASS)"	33.264	-94.07	55.988	.	55.988
"REAL ALLOY RECYCLING INC.805 GARDNER LN, MORGANTOWN KENTUCKY 42261 (BUTLER)"	37.207	-86.722	54.70612	.	54.70612
"NOVELIS CORP-GREENSBORO.1261 WILLOW RUN RD, GREENSBORO GEORGIA 30642 (GREENE)"	33.56	-83.198	54.3905906	.	54.3905906
"CENTURY FURNITURE CASEGOODS PLANT NO 1.420 12TH ST NW, HICKORY NORTH CAROLINA 28601 (CATAWBA)"	35.738	-81.36	53.34415	.	53.34415
"FORMOSA PLASTICS CORP LOUISIANA.GULF STATES RD, BATON ROUGE LOUISIANA 70805 (EAST BATON ROUGE PARISH)"	30.498	-91.189	38.3801429	14.12	52.5001429
"PEORIA DISPOSAL CO #1.4349 W SOUTHPORT RD, PEORIA ILLINOIS 61615 (PEORIA)"	40.721	-89.661	0.0022585	44.6242812	44.6265397
"DEER PARK REFINING LP.5900 HWY 225 EAST, DEER PARK TEXAS 77536 (HARRIS)"	29.711	-95.119	0.8095	43.3594	44.1689
"NIPPON DYNAWAVE PACKAGING CO.3401 INDUSTRIAL WAY, LONGVIEW WASHINGTON 98632 (COWLITZ)"	46.13	-122.983	6.0798654	37.149948	43.2298134
"REAL ALLOY RECYCLING INC.1508 N 8TH ST, SAPULPA OKLAHOMA 74066 (CREEK)"	36.016	-96.109	2.512	39.59	42.102
